药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
zhongyelian,重叶莲,Zhònɡ Yè Lián,,,,https://www.zysj.com.cn/zhongyaocai/zhongyelian/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:23
zuiyucaohua,醉鱼草花,Zuì Yú Cǎo Huā,,,,https://www.zysj.com.cn/zhongyaocai/zuiyucaohua/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:23
zuiyucao,醉鱼草,Zuì Yú Cǎo,闹鱼草、鱼尾草、痒见消、铁线尾,,,https://www.zysj.com.cn/zhongyaocai/zuiyucao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:23
zuihunteng,醉魂藤,Zuì Hún Ténɡ,野豇豆、老鸦花,,,https://www.zysj.com.cn/zhongyaocai/zuihunteng/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 21:41:23
zuimacao,醉马草,Zuì Mǎ Cǎo,马绊肠、断肠草、醉马豆、勺草,,,https://www.zysj.com.cn/zhongyaocai/zuimacao/index.html,2,《全国中草药汇编》;《中药大辞典》,2025-12-21 21:41:24
zuizhenmaogen,醉针茅根,Zuì Zhēn Máo Gēn,,,,https://www.zysj.com.cn/zhongyaocai/zuizhenmaogen/index.html,1,《中华本草》,2025-12-21 21:41:24
zuizhenmao,醉针茅,Zuì Zhēn Máo,药老、药草、米米蒿,,,https://www.zysj.com.cn/zhongyaocai/zuizhenmao/index.html,1,《中华本草》,2025-12-21 21:41:24
zuojiangcao,酢浆草,Zuò Jiānɡ Cǎo,酸浆草、酸酸草、斑鸠酸、三叶酸,,,https://www.zysj.com.cn/zhongyaocai/zuojiangcao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:25
zhuigufeng,追骨风,Zhuī Gǔ Fēnɡ,八里花、八里麻,,,https://www.zysj.com.cn/zhongyaocai/zhuigufeng/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:25
zhuifengsan,追风伞,Zhuī Fēnɡ Sǎn,四块瓦[四川],,,https://www.zysj.com.cn/zhongyaocai/zhuifengsan/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:25
zhuanxinlian,转心莲,Zhuǎn Xīn Lián,西番莲、转子莲、转枝莲、时计草,,,https://www.zysj.com.cn/zhongyaocai/zhuanxinlian/index.html,1,《全国中草药汇编》,2025-12-21 21:41:25
zoumafeng,走马风,Zǒu Mǎ Fēnɡ,六耳苓、吊钟黄,,,https://www.zysj.com.cn/zhongyaocai/zoumafeng/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:26
zoumaqin,走马芹,Zǒu Mǎ Qín,野白芷,,,https://www.zysj.com.cn/zhongyaocai/zoumaqin/index.html,1,《中华本草》,2025-12-21 21:41:26
zoumataiye,走马胎叶,Zǒu Mǎ Tāi Yè,,,,https://www.zysj.com.cn/zhongyaocai/zoumataiye/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:26
